file1,file2,score,user_relation,score_with_nonoise,score_denoise
1.wav,2.wav,tensor([0.7356]),same,tensor([0.5766]),tensor([0.7194])
1.wav,3.wav,tensor([0.5787]),same,tensor([0.6438]),tensor([0.6911])
1.wav,4.wav,tensor([0.6272]),same,tensor([0.4879]),tensor([0.5505])
1.wav,5.wav,tensor([0.6458]),same,tensor([0.5725]),tensor([0.6877])
1.wav,6.wav,tensor([0.3905]),different,tensor([0.2107]),tensor([0.3456])
1.wav,7.wav,tensor([0.3693]),different,tensor([0.3269]),tensor([0.4302])
1.wav,8.wav,tensor([0.4142]),different,tensor([0.3383]),tensor([0.3921])
1.wav,9.wav,tensor([0.3759]),different,tensor([0.3638]),tensor([0.4480])
1.wav,10.wav,tensor([0.4900]),different,tensor([0.3348]),tensor([0.4789])
1.wav,11.wav,tensor([0.2986]),different,tensor([0.2003]),tensor([0.3516])
1.wav,12.wav,tensor([0.2117]),different,tensor([0.2078]),tensor([0.2954])
1.wav,13.wav,tensor([0.3063]),different,tensor([0.3406]),tensor([0.3858])
1.wav,14.wav,tensor([0.1844]),different,tensor([0.1083]),tensor([0.2407])
1.wav,15.wav,tensor([0.2183]),different,tensor([0.2302]),tensor([0.3776])
1.wav,16.wav,tensor([0.1019]),different,tensor([0.0811]),tensor([0.1219])
1.wav,17.wav,tensor([0.2213]),different,tensor([0.1645]),tensor([0.2238])
1.wav,18.wav,tensor([0.1205]),different,tensor([0.0897]),tensor([0.1965])
1.wav,19.wav,tensor([0.1312]),different,tensor([0.0661]),tensor([0.2232])
1.wav,20.wav,tensor([0.1200]),different,tensor([0.0285]),tensor([0.1196])
1.wav,21.wav,tensor([0.2762]),different,tensor([0.1719]),tensor([0.2592])
1.wav,22.wav,tensor([0.1700]),different,tensor([0.0950]),tensor([0.2070])
1.wav,23.wav,tensor([0.2156]),different,tensor([0.0967]),tensor([0.2132])
1.wav,24.wav,tensor([0.2511]),different,tensor([0.1671]),tensor([0.2013])
1.wav,25.wav,tensor([0.1227]),different,tensor([0.0944]),tensor([0.1145])
1.wav,26.wav,tensor([0.2365]),different,tensor([0.1478]),tensor([0.1899])
1.wav,27.wav,tensor([0.1807]),different,tensor([0.1063]),tensor([0.2020])
1.wav,28.wav,tensor([0.2282]),different,tensor([0.1879]),tensor([0.1870])
1.wav,29.wav,tensor([0.2197]),different,tensor([0.1432]),tensor([0.2219])
1.wav,30.wav,tensor([0.1786]),different,tensor([0.1826]),tensor([0.2808])
1.wav,31.wav,tensor([0.2707]),different,tensor([0.2808]),tensor([0.3104])
1.wav,32.wav,tensor([0.3091]),different,tensor([0.2888]),tensor([0.3561])
1.wav,33.wav,tensor([0.2157]),different,tensor([0.0914]),tensor([0.2468])
1.wav,34.wav,tensor([0.2710]),different,tensor([0.2048]),tensor([0.3109])
1.wav,35.wav,tensor([0.2656]),different,tensor([0.1820]),tensor([0.2794])
1.wav,36.wav,tensor([0.1419]),different,tensor([0.0800]),tensor([0.1873])
1.wav,37.wav,tensor([0.1427]),different,tensor([0.0387]),tensor([0.2394])
1.wav,38.wav,tensor([0.1951]),different,tensor([0.0334]),tensor([0.1627])
1.wav,39.wav,tensor([0.1593]),different,tensor([0.1042]),tensor([0.2008])
1.wav,40.wav,tensor([0.1381]),different,tensor([0.0636]),tensor([0.2191])
1.wav,41.wav,tensor([0.2353]),different,tensor([0.2111]),tensor([0.3995])
1.wav,42.wav,tensor([0.2183]),different,tensor([0.2517]),tensor([0.3782])
1.wav,43.wav,tensor([0.0992]),different,tensor([0.1663]),tensor([0.3631])
1.wav,44.wav,tensor([0.2029]),different,tensor([0.2933]),tensor([0.3300])
1.wav,45.wav,tensor([0.2323]),different,tensor([0.3061]),tensor([0.3752])
1.wav,46.wav,tensor([0.1149]),different,tensor([0.0978]),tensor([0.1962])
1.wav,47.wav,tensor([-0.0048]),different,tensor([0.0984]),tensor([0.1894])
1.wav,48.wav,tensor([0.0761]),different,tensor([0.0106]),tensor([0.1604])
1.wav,49.wav,tensor([0.0934]),different,tensor([0.1085]),tensor([0.2155])
1.wav,50.wav,tensor([0.0622]),different,tensor([0.0706]),tensor([0.1724])
1.wav,51.wav,tensor([0.1780]),different,tensor([0.1445]),tensor([0.2679])
1.wav,52.wav,tensor([0.1643]),different,tensor([0.0572]),tensor([0.1856])
1.wav,53.wav,tensor([0.1761]),different,tensor([0.1163]),tensor([0.2481])
1.wav,54.wav,tensor([0.1748]),different,tensor([0.0738]),tensor([0.2466])
1.wav,55.wav,tensor([0.0972]),different,tensor([0.0193]),tensor([0.2161])
1.wav,56.wav,tensor([0.1142]),different,tensor([-0.0327]),tensor([0.1483])
1.wav,57.wav,tensor([0.0400]),different,tensor([-0.0658]),tensor([0.1908])
1.wav,58.wav,tensor([0.0497]),different,tensor([-0.0060]),tensor([0.2031])
1.wav,59.wav,tensor([0.0833]),different,tensor([-0.0243]),tensor([0.2025])
1.wav,60.wav,tensor([0.0284]),different,tensor([0.0124]),tensor([0.2115])
1.wav,61.wav,tensor([0.0994]),different,tensor([0.0570]),tensor([0.2169])
1.wav,62.wav,tensor([0.0662]),different,tensor([0.0270]),tensor([0.1903])
1.wav,63.wav,tensor([0.0855]),different,tensor([-0.0092]),tensor([0.1721])
1.wav,64.wav,tensor([0.1774]),different,tensor([0.0444]),tensor([0.2633])
1.wav,65.wav,tensor([0.0895]),different,tensor([-0.0185]),tensor([0.1444])
1.wav,66.wav,tensor([0.3958]),different,tensor([0.3472]),tensor([0.3729])
1.wav,67.wav,tensor([0.4015]),different,tensor([0.3670]),tensor([0.4452])
1.wav,68.wav,tensor([0.3424]),different,tensor([0.4502]),tensor([0.3691])
1.wav,69.wav,tensor([0.3203]),different,tensor([0.3311]),tensor([0.3927])
